@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R685,1441,1432,1442,676,686,684,1440,712,713,671,1446,1584'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute lspFreq_sma[7]_pctlrange0-1 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute gender {m,f}

@data
157.7621,151.06,157.4623,176.8562,167.5437,175.9584,143.6134,133.2747,0.793413,0.569916,0.487238,290.4295,m
185.8503,171.4162,155.5168,189.6777,184.2245,209.3575,164.5268,126.5863,0.80497,0.80497,0.280865,224.0046,f
184.8868,123.7617,112.9554,156.5386,179.6663,184.8868,184.8868,62.38459,0.722062,0.722062,0.166037,156.8751,m
114.4408,113.3975,109.8883,120.2395,114.86,120.7951,111.1857,109.4091,0.796873,0.796873,0.227966,152.7852,m
185.1854,185.3685,180.0148,215.1495,180.7862,208.2958,143.9809,141.4907,0.842129,0.842129,0.250552,298.4401,f
209.9894,182.4097,164.5337,213.7868,196.8598,221.4999,173.8946,124.7911,0.832374,0.832374,0.148406,242.4664,f
148.6882,145.1082,138.7445,157.3064,160.7788,171.5063,142.3764,107.8199,0.823931,0.823931,0.328615,228.2392,f
215.3835,197.8817,189.6971,222.7516,209.2058,235.8183,182.0292,174.19,0.832578,0.832578,0.415463,256.5801,f
199.6041,196.923,175.2432,206.2615,197.0292,207.879,184.1784,147.0569,0.833563,0.833563,0.356,242.4694,f
139.1039,121.9173,114.5228,143.4465,145.2785,160.5381,136.8078,84.70882,0.776227,0.776227,0.237794,177.6806,m
197.6779,194.6986,179.3493,215.2728,194.5903,218.1608,177.7239,158.0681,0.826433,0.826433,0.34894,233.3256,f
0,0,0,0,0,0,0,0,0.669287,0.669287,0.464107,0,f
239.7785,225.3361,215.4494,253.2596,238.6815,261.0755,217.133,192.028,0.863156,0.816724,0.207879,333.1942,f
137.2005,118.5828,108.1209,140.6436,135.385,141.1037,126.797,87.86166,0.743161,0.63757,0.284406,157.605,m
187.3359,188.843,181.4055,203.8328,188.6115,199.4326,173.8288,176.3662,0.834627,0.834627,0.19843,250.1128,f
117.3246,114.0199,95.81842,118.8502,114.4914,117.3246,113.2422,79.61278,0.728265,0.728265,0.231353,120.328,m
220.8148,204.5957,193.8383,233.3239,213.0158,233.2881,195.8921,174.0986,0.872627,0.714905,0.500537,249.2457,f
0,262.7651,219.2716,263.0547,13.17554,0,0,197.3951,0.755051,0.533363,0.408664,263.3503,f
203.2852,190.8838,166.7375,205.815,195.9184,208.0902,194.2584,133.0262,0.821161,0.821161,0.194903,245.0427,f
101.4439,98.19315,83.0524,104.4222,101.1157,106.5037,96.73154,63.04888,0.739931,0.739931,0.170069,116.211,m
227.7389,222.9779,202.2025,258.602,229.4613,242.1313,208.0446,160.551,0.824947,0.824947,0.27558,271.6213,f
